"","STATE","EVENT_ID","MONTH_NAME","EVENT_TYPE","FATALITIES_COUNT","avgAGE","Total_POP_.2010","perFATALITIESpop"
"1","ALABAMA",83608,"February","Tornado",4,48.5,4779736,8.3686630391302e-05
"2","ALABAMA",501022,"January","Winter Storm",1,72,4779736,2.09216575978255e-05
"3","ALABAMA",296786,"April","Tornado",3,20.3333333333333,4779736,6.27649727934765e-05
"4","ALABAMA",214876,"February","Winter Storm",1,26,4779736,2.09216575978255e-05
"5","ALABAMA",302192,"April","Tornado",1,20,4779736,2.09216575978255e-05
"6","ALABAMA",445551,"June","Tide/Tsunami",3,36.3333333333333,4779736,6.27649727934765e-05
"7","ALABAMA",225173,"April","Wind",1,32,4779736,2.09216575978255e-05
"8","ALABAMA",445350,"June","Wind",1,49,4779736,2.09216575978255e-05
"9","ALABAMA",5166970,"December","Cold",1,43,4779736,2.09216575978255e-05
"10","ALABAMA",264065,"August","Lightning",1,34,4779736,2.09216575978255e-05
"11","ALABAMA",597275,"July","Lightning",1,73,4779736,2.09216575978255e-05
"12","ALABAMA",5475422,"September","Tide/Tsunami",1,23,4779736,2.09216575978255e-05
"13","ALABAMA",5235588,"March","Tornado",2,41,4779736,4.1843315195651e-05
"14","ALABAMA",302067,"April","Tornado",5,35.8,4779736,0.000104608287989127
"15","ALABAMA",5467137,"July","Heat",1,65,4779736,2.09216575978255e-05
"16","ALABAMA",501003,"January","Winter Storm",1,24,4779736,2.09216575978255e-05
"17","ALABAMA",5272278,"November","Tornado",2,52.5,4779736,4.1843315195651e-05
"18","ALABAMA",83659,"February","Tornado",1,60,4779736,2.09216575978255e-05
"19","ALABAMA",314886,"April","Tornado",12,60.25,4779736,0.000251059891173906
"20","ALABAMA",500996,"January","Winter Storm",2,15.5,4779736,4.1843315195651e-05
"21","ALABAMA",176053,"May","Flood",1,67,4779736,2.09216575978255e-05
"22","ALABAMA",5140294,"March","Wind",1,52,4779736,2.09216575978255e-05
"23","ALABAMA",445553,"June","Tide/Tsunami",1,62,4779736,2.09216575978255e-05
"24","ALABAMA",5272365,"November","Tornado",2,55,4779736,4.1843315195651e-05
"25","ALABAMA",209683,"January","Winter Storm",1,19,4779736,2.09216575978255e-05
"26","ALABAMA",59669,"September","Heat",1,1,4779736,2.09216575978255e-05
"27","ALABAMA",373886,"March","Lightning",1,12,4779736,2.09216575978255e-05
"28","ALABAMA",576207,"July","Lightning",1,12,4779736,2.09216575978255e-05
"29","ALABAMA",5302717,"June","Tide/Tsunami",1,35,4779736,2.09216575978255e-05
"30","ALABAMA",501329,"January","Winter Storm",1,97,4779736,2.09216575978255e-05
"31","ALABAMA",301943,"April","Tornado",1,68,4779736,2.09216575978255e-05
"32","ALABAMA",49097,"July","Heat",1,36,4779736,2.09216575978255e-05
"33","ALABAMA",390148,"August","Heat",1,38,4779736,2.09216575978255e-05
"34","ALABAMA",309095,"April","Tornado",9,51,4779736,0.000188294918380429
"35","ALABAMA",314799,"April","Tornado",1,55,4779736,2.09216575978255e-05
"36","ALABAMA",209689,"January","Winter Storm",1,75,4779736,2.09216575978255e-05
"37","ALABAMA",94465,"April","Tide/Tsunami",1,40,4779736,2.09216575978255e-05
"38","ALABAMA",400154,"July","Lightning",1,40,4779736,2.09216575978255e-05
"39","ALABAMA",58885,"August","Heat",1,64,4779736,2.09216575978255e-05
"40","ALABAMA",5155486,"July","Heat",2,76,4779736,4.1843315195651e-05
"41","ALABAMA",5376900,"August","Tide/Tsunami",1,25,4779736,2.09216575978255e-05
"42","ALABAMA",610072,"December","Flood",1,53,4779736,2.09216575978255e-05
"43","ALABAMA",307342,"April","Tornado",4,66.25,4779736,8.3686630391302e-05
"44","ALABAMA",5151709,"June","Wind",1,70,4779736,2.09216575978255e-05
"45","ALABAMA",5151761,"June","Heat",1,1,4779736,2.09216575978255e-05
"46","ALABAMA",301925,"April","Tornado",6,76.6666666666667,4779736,0.000125529945586953
"47","ALABAMA",314742,"April","Tornado",6,51.3333333333333,4779736,0.000125529945586953
"48","ALABAMA",133477,"August","Hurricane",1,33,4779736,2.09216575978255e-05
"49","ALABAMA",5425192,"November","Tornado",1,75,4779736,2.09216575978255e-05
"50","ALABAMA",5139296,"April","Wind",1,43,4779736,2.09216575978255e-05
"51","ALABAMA",516848,"April","Flood",1,67,4779736,2.09216575978255e-05
"52","ALABAMA",213976,"February","Winter Storm",2,3,4779736,4.1843315195651e-05
"53","ALABAMA",5321639,"November","Tornado",1,54,4779736,2.09216575978255e-05
"54","ALABAMA",5264220,"August","Lightning",1,65,4779736,2.09216575978255e-05
"55","ALABAMA",254289,"July","Tide/Tsunami",1,3,4779736,2.09216575978255e-05
"56","ALABAMA",309488,"April","Tornado",11,57.9090909090909,4779736,0.00023013823357608
"57","ALABAMA",295231,"March","Heat",5,18.6,4779736,0.000104608287989127
"58","ALABAMA",33262,"May","Tide/Tsunami",1,43,4779736,2.09216575978255e-05
"59","ALABAMA",213044,"January","Winter Storm",2,25,4779736,4.1843315195651e-05
"60","ALABAMA",314662,"April","Tornado",52,46.2115384615385,4779736,0.00108792619508693
"61","ALABAMA",5300425,"June","Lightning",1,8,4779736,2.09216575978255e-05
"62","ALABAMA",41738,"June","Tide/Tsunami",1,21,4779736,2.09216575978255e-05
"63","ALABAMA",574054,"June","Lightning",2,43.5,4779736,4.1843315195651e-05
"64","ALABAMA",5245932,"May","Wind",1,36,4779736,2.09216575978255e-05
"65","ALABAMA",5439714,"March","Flood",1,63,4779736,2.09216575978255e-05
"66","ALABAMA",496864,"January","Winter Storm",2,65,4779736,4.1843315195651e-05
"67","ALABAMA",5141875,"April","Tornado",1,90,4779736,2.09216575978255e-05
"68","ALABAMA",33267,"May","Tide/Tsunami",1,31,4779736,2.09216575978255e-05
"69","ALABAMA",5425924,"November","Flood",1,73,4779736,2.09216575978255e-05
"70","ALABAMA",166035,"April","Wind",1,63,4779736,2.09216575978255e-05
"71","ALABAMA",265205,"October","Lightning",1,41,4779736,2.09216575978255e-05
"72","ALABAMA",314663,"April","Tornado",20,49.15,4779736,0.00041843315195651
"73","ALABAMA",5269920,"October","Wind",1,63,4779736,2.09216575978255e-05
"74","ALABAMA",375925,"April","Tide/Tsunami",1,16,4779736,2.09216575978255e-05
"75","ALABAMA",301811,"April","Tornado",8,63.25,4779736,0.000167373260782604
"76","ALABAMA",22399,"March","Tornado",9,23.7777777777778,4779736,0.000188294918380429
